Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.909,0.9101089345590476,0.909,0.9089384423870537
Decision Tree,0.951,0.9510451045104511,0.951,0.9509987749693741
Random Forest,0.962,0.9621848739495799,0.962,0.961996199619962
SVM,0.9095,0.9113465345937916,0.9095,0.9093983222671643
KNN,0.907,0.9070260496671788,0.907,0.9069985119761916
Gaussian NB,0.8375,0.851416442541069,0.8375,0.8358751226833459
AdaBoost,0.9455,0.9490569803412832,0.9455,0.9453918622351912
